crop_name,model_name,target,R2,MAE,MedAE,RMSE,MAPE,sMAPE
Barley (Rainfed),Extra Trees,OVERALL,0.9931696437910945,0.3737822773293056,7.922551503725117e-13,1.5751664385670938,245713421.09060702,3.146522626041898
Barley (Rainfed),LightGBM,OVERALL,0.09736811012886175,14.110898114060396,11.332858248129641,19.72983915921739,52699241107.96111,95.83040269666593
Barley (Rainfed),CatBoost,OVERALL,0.09459068975134362,14.135006164992738,11.32146331236565,19.7568405826493,52855774004.1861,95.85244842700128
Barley (Rainfed),Random Forest,OVERALL,0.9963644926002054,0.2719368293331262,1.9658349022696106e-13,0.9254372510845298,89428584.03454132,2.8330581773082333
Barley (Rainfed),XGBoost,OVERALL,0.09727303933164799,14.111428996708705,11.327695999145506,19.730999168207447,52698589377.10914,95.8319474863303
Barley (Rainfed),Linear Regression,OVERALL,0.8378993511770387,5.742680217930773,4.428864608584847,8.117881678853871,25884791055.41524,85.5490802060513
Barley (Rainfed),Ridge,OVERALL,0.8379023669145704,5.743653259602503,4.42889729012401,8.118090489672761,25900949505.267147,85.546853277177
Barley (Rainfed),Elastic Net,OVERALL,0.7187397125239904,8.055498336670583,6.232478422851268,10.911314100937169,31201890007.07117,89.15555441120098
Barley (Rainfed),AdaBoost,OVERALL,0.9855672541389079,1.0832436867084505,0.4202282165846168,1.880055140695972,228996898.24417028,78.48641843420185
Maize (Grain),Extra Trees,OVERALL,0.5828552605356762,3.2323703703703703,0.8900000000000029,6.210495390216725,3014814823.2456384,15.015105555112294
Maize (Grain),LightGBM,OVERALL,0.04272830912105441,13.30895900627612,8.83517021734523,18.239258909141878,30181684027.838146,69.9817456130596
Maize (Grain),CatBoost,OVERALL,-0.0060531066580204644,13.612065136902862,9.003022319816495,18.643953970221407,30702835632.74976,70.86956800024787
Maize (Grain),Random Forest,OVERALL,0.437900031543927,3.220666666666667,0.7866666666666665,5.951537013588376,2334814824.406044,13.705418412874911
Maize (Grain),XGBoost,OVERALL,0.041325050798271014,13.318765931306062,8.848037134806313,18.212515911721166,30144219597.743107,70.06935898473277
Maize (Grain),Linear Regression,OVERALL,0.6505434133583647,8.79876733779639,6.567785300499314,11.712765027628445,27045564241.537643,61.095358346994885
Maize (Grain),Ridge,OVERALL,0.7082470811520262,8.634370168413765,6.454427220721648,11.071848651749129,26123924185.73662,60.71231166806839
Maize (Grain),Elastic Net,OVERALL,0.5044568038982162,9.721421227194826,6.804778464424149,13.563246911244484,22015796303.83762,64.26716356281689
Maize (Grain),AdaBoost,OVERALL,0.9627258056418317,1.8146637071390834,0.9200054903742677,2.9099156359272293,266335481.16681895,50.620343148625544
Maize (Silage),Extra Trees,OVERALL,0.6107862396647443,4.7909039548022605,0.9533333333333331,9.322362758720095,7300000008.030731,15.559776594745031
Maize (Silage),LightGBM,OVERALL,0.09357546692147789,17.696990097769827,13.629656424335238,23.4111946391848,61560507586.913246,71.80721639257953
Maize (Silage),CatBoost,OVERALL,0.0641198341714827,18.025123010125778,13.947599983229267,23.78202593744233,62337802459.276024,72.49939336092221
Maize (Silage),Random Forest,OVERALL,0.8799803127167164,2.8232203389830524,0.7966666666666669,5.274404345176427,2488700571.3510013,10.814519853070292
Maize (Silage),XGBoost,OVERALL,0.08954753899590588,17.750466057297874,13.702854665120446,23.46068693452952,61598255158.58401,71.9510927757948
Maize (Silage),Linear Regression,OVERALL,0.6925968855484541,12.281711841201059,8.90875822497211,15.753493610428215,42405272570.441154,66.7120165041342
Maize (Silage),Ridge,OVERALL,0.7032060307377984,12.198237373333207,9.220970600835864,15.445233252115694,43393816089.26738,66.2584079378468
Maize (Silage),Elastic Net,OVERALL,0.4565119952975351,15.505243445734228,11.705378927149368,20.40199079182835,52901339580.93124,70.80320324866857
Maize (Silage),AdaBoost,OVERALL,0.9759785482144129,2.0317812235408503,1.162470347648264,3.2010464892308654,838561059.5405957,50.82559962838232
Wheat (Irrigated),Extra Trees,OVERALL,0.9864529382905255,0.6778773029444306,0.03333333333335039,2.8906456905765787,645580248.7687229,2.741494109162398
Wheat (Irrigated),LightGBM,OVERALL,0.0974332108624153,25.7778193183804,22.02046934026426,33.589059340000034,106687002876.92061,93.7550698098715
Wheat (Irrigated),CatBoost,OVERALL,0.09489307987287421,25.787154402128113,22.03943291525188,33.6243407152619,106851022144.13371,93.72270527396813
Wheat (Irrigated),Random Forest,OVERALL,0.9948479163491223,0.378100664767614,1.2458182633660424e-12,1.2820680808117604,119677114.099389,1.9131822683534345
Wheat (Irrigated),XGBoost,OVERALL,0.09732190446773181,25.778430253127226,22.019810333251954,33.59056202744498,106686243776.62639,93.75588216479788
Wheat (Irrigated),Linear Regression,OVERALL,0.8018465955776864,12.39228999640712,9.620665054305272,17.022078074740765,59652202086.47091,85.03200032037294
Wheat (Irrigated),Ridge,OVERALL,0.801900230621785,12.395764266284615,9.633225642941438,17.01830935969096,59701879428.303,85.03108438689436
Wheat (Irrigated),Elastic Net,OVERALL,0.6796176255956382,15.629573019830493,12.192366516909951,20.835839327772657,64918694892.67385,87.68199821339554
Wheat (Irrigated),AdaBoost,OVERALL,0.9864824940896842,1.5823941469515832,0.5130888910002079,2.9375964250856796,245921227.87648273,76.99849028596695
Wheat (Rainfed),Extra Trees,OVERALL,0.9858692776959092,0.7123885423888137,0.036666666666737534,2.6466353623878907,434850237.40857476,3.8825749268527936
Wheat (Rainfed),LightGBM,OVERALL,0.09674295238729091,20.846652153178237,17.271273994931445,27.89425557990479,80537915871.08311,94.00060800629448
Wheat (Rainfed),CatBoost,OVERALL,0.0942698952836319,20.86191780261774,17.26559300759791,27.92487874042673,80671336598.42944,93.9931982475623
Wheat (Rainfed),Random Forest,OVERALL,0.9939194242310356,0.35142180642204046,9.758120237772043e-13,1.2600975211836178,100492801.90429626,2.313132848437332
Wheat (Rainfed),XGBoost,OVERALL,0.09666327506032464,20.847333244446514,17.254098205566404,27.895495190507784,80538805223.99382,94.00246307383088
Wheat (Rainfed),Linear Regression,OVERALL,0.8168864107452333,9.441364290804913,7.257871563695457,13.158095491714562,43598288446.57342,84.44985074044648
Wheat (Rainfed),Ridge,OVERALL,0.8170039434402495,9.441506908911684,7.258576589446325,13.152372288231811,43623882653.9148,84.44582784777693
